feature_layer	feature_name	bulk_evidence_category	single_cell_evidence_category	spatial_analysis_role	primary_or_secondary	spatial_coverage_required	formal_inference_allowed	exclusion_rule	notes
WGCNA_module	MEgreen	PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE	INSUFFICIENT_SINGLE_CELL_DATA	SPATIAL_SENSITIVITY_LAYER	SECONDARY	0.80	FALSE	coverage_below_80_percent	WGCNA module. Excluded in SC. Spatial inference blocked if spatial dataset-specific coverage < 80%.
WGCNA_module	MEtan	PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE	INSUFFICIENT_SINGLE_CELL_DATA	SPATIAL_SENSITIVITY_LAYER	SECONDARY	0.80	FALSE	coverage_below_80_percent	WGCNA module. Excluded in SC. Spatial inference blocked if spatial dataset-specific coverage < 80%.
WGCNA_module	MEgreenyellow	PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE	INSUFFICIENT_SINGLE_CELL_DATA	SPATIAL_SENSITIVITY_LAYER	SECONDARY	0.80	FALSE	coverage_below_80_percent	WGCNA module. Excluded in SC. Spatial inference blocked if spatial dataset-specific coverage < 80%.
TF_regulon	BHLHE40	PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE	CELL_COMPOSITION_EXPLAINED	COMPOSITION_CONTEXT_EVALUATION	SECONDARY	0.80	FALSE	cell_composition_explained_not_mechanistic	Mapped only for cell-type spatial distribution and consistency checks.
TF_regulon	CTCFL	EXTERNALLY_REPLICATED_HOST_FEATURE	CELL_COMPOSITION_EXPLAINED	COMPOSITION_CONTEXT_EVALUATION	SECONDARY	0.80	FALSE	cell_composition_explained_not_mechanistic	Mapped only for cell-type spatial distribution and consistency checks.
TF_regulon	E2F6	PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE	CELL_COMPOSITION_EXPLAINED	COMPOSITION_CONTEXT_EVALUATION	SECONDARY	0.80	FALSE	cell_composition_explained_not_mechanistic	Mapped only for cell-type spatial distribution and consistency checks.
TF_regulon	GRHL2	PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE	CELL_COMPOSITION_EXPLAINED	COMPOSITION_CONTEXT_EVALUATION	SECONDARY	0.80	FALSE	cell_composition_explained_not_mechanistic	Mapped only for cell-type spatial distribution and consistency checks.
TF_regulon	IRF3	EXTERNALLY_REPLICATED_HOST_FEATURE	CELL_COMPOSITION_EXPLAINED	COMPOSITION_CONTEXT_EVALUATION	SECONDARY	0.80	FALSE	cell_composition_explained_not_mechanistic	Mapped only for cell-type spatial distribution and consistency checks.
TF_regulon	JUNB	EXTERNALLY_REPLICATED_HOST_FEATURE	CELL_COMPOSITION_EXPLAINED	COMPOSITION_CONTEXT_EVALUATION	SECONDARY	0.80	FALSE	cell_composition_explained_not_mechanistic	Mapped only for cell-type spatial distribution and consistency checks.
TF_regulon	KLF1	PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE	CELL_COMPOSITION_EXPLAINED	COMPOSITION_CONTEXT_EVALUATION	SECONDARY	0.80	FALSE	cell_composition_explained_not_mechanistic	Mapped only for cell-type spatial distribution and consistency checks.
TF_regulon	KLF9	EXTERNALLY_REPLICATED_HOST_FEATURE	CELL_COMPOSITION_EXPLAINED	COMPOSITION_CONTEXT_EVALUATION	SECONDARY	0.80	FALSE	cell_composition_explained_not_mechanistic	Mapped only for cell-type spatial distribution and consistency checks.
TF_regulon	MBD1	PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE	CELL_COMPOSITION_EXPLAINED	COMPOSITION_CONTEXT_EVALUATION	SECONDARY	0.80	FALSE	cell_composition_explained_not_mechanistic	Mapped only for cell-type spatial distribution and consistency checks.
TF_regulon	MNT	EXTERNALLY_REPLICATED_HOST_FEATURE	CELL_COMPOSITION_EXPLAINED	COMPOSITION_CONTEXT_EVALUATION	SECONDARY	0.80	FALSE	cell_composition_explained_not_mechanistic	Mapped only for cell-type spatial distribution and consistency checks.
TF_regulon	MXI1	EXTERNALLY_REPLICATED_HOST_FEATURE	CELL_COMPOSITION_EXPLAINED	COMPOSITION_CONTEXT_EVALUATION	SECONDARY	0.80	FALSE	cell_composition_explained_not_mechanistic	Mapped only for cell-type spatial distribution and consistency checks.
TF_regulon	OTX2	PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE	CELL_COMPOSITION_EXPLAINED	COMPOSITION_CONTEXT_EVALUATION	SECONDARY	0.80	FALSE	cell_composition_explained_not_mechanistic	Mapped only for cell-type spatial distribution and consistency checks.
TF_regulon	SIX5	PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE	CELL_COMPOSITION_EXPLAINED	COMPOSITION_CONTEXT_EVALUATION	SECONDARY	0.80	FALSE	cell_composition_explained_not_mechanistic	Mapped only for cell-type spatial distribution and consistency checks.
TF_regulon	SNAI2	EXTERNALLY_REPLICATED_HOST_FEATURE	CELL_COMPOSITION_EXPLAINED	COMPOSITION_CONTEXT_EVALUATION	SECONDARY	0.80	FALSE	cell_composition_explained_not_mechanistic	Mapped only for cell-type spatial distribution and consistency checks.
TF_regulon	SNAPC4	PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE	CELL_COMPOSITION_EXPLAINED	COMPOSITION_CONTEXT_EVALUATION	SECONDARY	0.80	FALSE	cell_composition_explained_not_mechanistic	Mapped only for cell-type spatial distribution and consistency checks.
TF_regulon	TFAP4	EXTERNALLY_REPLICATED_HOST_FEATURE	CELL_COMPOSITION_EXPLAINED	COMPOSITION_CONTEXT_EVALUATION	SECONDARY	0.80	FALSE	cell_composition_explained_not_mechanistic	Mapped only for cell-type spatial distribution and consistency checks.
TF_regulon	TP63	EXTERNALLY_REPLICATED_HOST_FEATURE	CELL_COMPOSITION_EXPLAINED	COMPOSITION_CONTEXT_EVALUATION	SECONDARY	0.80	FALSE	cell_composition_explained_not_mechanistic	Mapped only for cell-type spatial distribution and consistency checks.
TF_regulon	ZBED1	PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE	CELL_COMPOSITION_EXPLAINED	COMPOSITION_CONTEXT_EVALUATION	SECONDARY	0.80	FALSE	cell_composition_explained_not_mechanistic	Mapped only for cell-type spatial distribution and consistency checks.
TF_regulon	ZNF24	EXTERNALLY_REPLICATED_HOST_FEATURE	CELL_COMPOSITION_EXPLAINED	COMPOSITION_CONTEXT_EVALUATION	SECONDARY	0.80	FALSE	cell_composition_explained_not_mechanistic	Mapped only for cell-type spatial distribution and consistency checks.
TF_regulon	KLF13	EXTERNALLY_REPLICATED_HOST_FEATURE	NOT_SUPPORTED_AT_CELLULAR_LEVEL	NOT_SUPPORTED_SPATIALLY	SECONDARY	0.80	FALSE	not_supported_at_cellular_level	Not supported at cellular level in SC validation. Mapped only as negative biological baseline.
