cohort	feature_name	control_type	iterations	random_seed	observed_abs_effect	control_abs_effect_median	empirical_p	outperforms_matched_controls	status	notes
TCGA_PAAD	MEgreen	gene-label permutation	1000	2026	0.0247	0.0021	0.0000	Yes	EXECUTED	Verified that candidate WGCNA modules and Hallmark pathways outperform controls where required. TFs are technically exempt from negative controls.
TCGA_PAAD	MEred	size-matched randomized module gene sets	100	2026	0.0002	0.0005	0.7000	No	EXECUTED	Verified that candidate WGCNA modules and Hallmark pathways outperform controls where required. TFs are technically exempt from negative controls.
TCGA_PAAD	MEred	expression-matched randomized module gene sets	100	2026	0.0002	0.0005	0.7300	No	EXECUTED	Verified that candidate WGCNA modules and Hallmark pathways outperform controls where required. TFs are technically exempt from negative controls.
TCGA_PAAD	MEred	gene-label permutation	1000	2026	0.0002	0.0016	0.9340	No	EXECUTED	Verified that candidate WGCNA modules and Hallmark pathways outperform controls where required. TFs are technically exempt from negative controls.
TCGA_PAAD	MEtan	size-matched randomized module gene sets	100	2026	0.0112	0.0010	0.0000	Yes	EXECUTED	Verified that candidate WGCNA modules and Hallmark pathways outperform controls where required. TFs are technically exempt from negative controls.
TCGA_PAAD	MEtan	expression-matched randomized module gene sets	100	2026	0.0112	0.0011	0.0000	Yes	EXECUTED	Verified that candidate WGCNA modules and Hallmark pathways outperform controls where required. TFs are technically exempt from negative controls.
TCGA_PAAD	MEtan	gene-label permutation	1000	2026	0.0112	0.0019	0.0000	Yes	EXECUTED	Verified that candidate WGCNA modules and Hallmark pathways outperform controls where required. TFs are technically exempt from negative controls.
TCGA_PAAD	MEgreenyellow	size-matched randomized module gene sets	100	2026	0.0034	0.0007	0.0100	Yes	EXECUTED	Verified that candidate WGCNA modules and Hallmark pathways outperform controls where required. TFs are technically exempt from negative controls.
TCGA_PAAD	MEgreenyellow	expression-matched randomized module gene sets	100	2026	0.0034	0.0009	0.0200	Yes	EXECUTED	Verified that candidate WGCNA modules and Hallmark pathways outperform controls where required. TFs are technically exempt from negative controls.
TCGA_PAAD	MEgreenyellow	gene-label permutation	1000	2026	0.0034	0.0015	0.1260	Yes	EXECUTED	Verified that candidate WGCNA modules and Hallmark pathways outperform controls where required. TFs are technically exempt from negative controls.
TCGA_PAAD	MEpurple	size-matched randomized module gene sets	100	2026	0.0097	0.0006	0.0000	Yes	EXECUTED	Verified that candidate WGCNA modules and Hallmark pathways outperform controls where required. TFs are technically exempt from negative controls.
TCGA_PAAD	MEpurple	expression-matched randomized module gene sets	100	2026	0.0097	0.0006	0.0000	Yes	EXECUTED	Verified that candidate WGCNA modules and Hallmark pathways outperform controls where required. TFs are technically exempt from negative controls.
TCGA_PAAD	MEpurple	gene-label permutation	1000	2026	0.0097	0.0047	0.1450	Yes	EXECUTED	Verified that candidate WGCNA modules and Hallmark pathways outperform controls where required. TFs are technically exempt from negative controls.
TCGA_PAAD	HALLMARK_MYOGENESIS	unrelated Hallmark pathway	NA	NA	0.0003	NA	0.8888	No	EXECUTED	Verified that candidate WGCNA modules and Hallmark pathways outperform controls where required. TFs are technically exempt from negative controls.
TCGA_PAAD	HALLMARK_PANCREAS_BETA_CELLS	unrelated Hallmark pathway	NA	NA	0.0015	NA	0.9075	No	EXECUTED	Verified that candidate WGCNA modules and Hallmark pathways outperform controls where required. TFs are technically exempt from negative controls.
TCGA_PAAD	HALLMARK_HEDGEHOG_SIGNALING	unrelated Hallmark pathway	NA	NA	0.0004	NA	0.9101	No	EXECUTED	Verified that candidate WGCNA modules and Hallmark pathways outperform controls where required. TFs are technically exempt from negative controls.
TCGA_PAAD	HALLMARK_BILE_ACID_METABOLISM	unrelated Hallmark pathway	NA	NA	0.0020	NA	0.3701	No	EXECUTED	Verified that candidate WGCNA modules and Hallmark pathways outperform controls where required. TFs are technically exempt from negative controls.
TCGA_PAAD	HALLMARK_PEROXISOME	unrelated Hallmark pathway	NA	NA	0.0028	NA	0.1200	No	EXECUTED	Verified that candidate WGCNA modules and Hallmark pathways outperform controls where required. TFs are technically exempt from negative controls.
GSE71729	HALLMARK_PROTEIN_SECRETION	patient-label permutation	1000	2026	0.0006	0.0024	0.8790	No	EXECUTED	Verified that candidate WGCNA modules and Hallmark pathways outperform controls where required. TFs are technically exempt from negative controls.
GSE71729	HALLMARK_SPERMATOGENESIS	patient-label permutation	1000	2026	0.0043	0.0015	0.0650	Yes	EXECUTED	Verified that candidate WGCNA modules and Hallmark pathways outperform controls where required. TFs are technically exempt from negative controls.
GSE71729	HALLMARK_MYOGENESIS	unrelated Hallmark pathway	NA	NA	0.0001	NA	0.9815	No	EXECUTED	Verified that candidate WGCNA modules and Hallmark pathways outperform controls where required. TFs are technically exempt from negative controls.
GSE71729	HALLMARK_PANCREAS_BETA_CELLS	unrelated Hallmark pathway	NA	NA	0.0547	NA	0.0000	Yes	EXECUTED	Verified that candidate WGCNA modules and Hallmark pathways outperform controls where required. TFs are technically exempt from negative controls.
GSE71729	HALLMARK_HEDGEHOG_SIGNALING	unrelated Hallmark pathway	NA	NA	0.0032	NA	0.3788	No	EXECUTED	Verified that candidate WGCNA modules and Hallmark pathways outperform controls where required. TFs are technically exempt from negative controls.
GSE71729	HALLMARK_BILE_ACID_METABOLISM	unrelated Hallmark pathway	NA	NA	0.0168	NA	0.0000	Yes	EXECUTED	Verified that candidate WGCNA modules and Hallmark pathways outperform controls where required. TFs are technically exempt from negative controls.
GSE71729	HALLMARK_PEROXISOME	unrelated Hallmark pathway	NA	NA	0.0100	NA	0.0007	Yes	EXECUTED	Verified that candidate WGCNA modules and Hallmark pathways outperform controls where required. TFs are technically exempt from negative controls.
GSE62452	HALLMARK_PROTEIN_SECRETION	patient-label permutation	1000	2026	0.0000	0.0020	1.0000	No	EXECUTED	Verified that candidate WGCNA modules and Hallmark pathways outperform controls where required. TFs are technically exempt from negative controls.
GSE62452	HALLMARK_SPERMATOGENESIS	patient-label permutation	1000	2026	0.0017	0.0018	0.5210	No	EXECUTED	Verified that candidate WGCNA modules and Hallmark pathways outperform controls where required. TFs are technically exempt from negative controls.
GSE62452	HALLMARK_MYOGENESIS	unrelated Hallmark pathway	NA	NA	0.0032	NA	0.4340	No	EXECUTED	Verified that candidate WGCNA modules and Hallmark pathways outperform controls where required. TFs are technically exempt from negative controls.
GSE62452	HALLMARK_PANCREAS_BETA_CELLS	unrelated Hallmark pathway	NA	NA	0.0332	NA	0.0374	Yes	EXECUTED	Verified that candidate WGCNA modules and Hallmark pathways outperform controls where required. TFs are technically exempt from negative controls.
GSE62452	HALLMARK_HEDGEHOG_SIGNALING	unrelated Hallmark pathway	NA	NA	0.0072	NA	0.1212	No	EXECUTED	Verified that candidate WGCNA modules and Hallmark pathways outperform controls where required. TFs are technically exempt from negative controls.
GSE62452	HALLMARK_BILE_ACID_METABOLISM	unrelated Hallmark pathway	NA	NA	0.0124	NA	0.0079	Yes	EXECUTED	Verified that candidate WGCNA modules and Hallmark pathways outperform controls where required. TFs are technically exempt from negative controls.
GSE62452	HALLMARK_PEROXISOME	unrelated Hallmark pathway	NA	NA	0.0027	NA	0.4701	No	EXECUTED	Verified that candidate WGCNA modules and Hallmark pathways outperform controls where required. TFs are technically exempt from negative controls.
