feature_name	criterion	criterion_status	positive_points	penalty_points	evidence_source	note	reviewer_verification
HALLMARK_SPERMATOGENESIS	cell_type_specificity	PENALTY_CELL_COMPOSITION_EXPLAINED	0	-2	05_results/tables/phase10a_cross_layer_evidence_inventory.tsv	CELL_COMPOSITION_EXPLAINED is not treated as true cell-type specificity.	VERIFIED_LOCKED_RULE_APPLICATION
HALLMARK_SPERMATOGENESIS	druggability	UNKNOWN_NO_REPRODUCIBLE_OPENTARGETS_EVIDENCE	0	0	05_results/tables/phase10br_external_database_query_audit.tsv	No hardcoded tractability values are used.	VERIFIED_LOCKED_RULE_APPLICATION
HALLMARK_SPERMATOGENESIS	tumor_versus_normal_selectivity	UNKNOWN_NO_REPRODUCIBLE_GTEX_EVIDENCE	0	0	05_results/tables/phase10br_external_database_query_audit.tsv	No hardcoded tumor-vs-normal values are used.	VERIFIED_LOCKED_RULE_APPLICATION
HALLMARK_SPERMATOGENESIS	existing_compounds	UNKNOWN_NO_REPRODUCIBLE_CHEMBL_EVIDENCE	0	0	05_results/tables/phase10br_external_database_query_audit.tsv	No hardcoded compound values are used.	VERIFIED_LOCKED_RULE_APPLICATION
HALLMARK_SPERMATOGENESIS	genetic_dependency	UNKNOWN_NO_LOCKED_QUANTITATIVE_INPUT	0	0	05_results/tables/phase10a_target_prioritization_framework.tsv	Criterion retained from locked framework; no reproducible Phase 10B-R input table available.	VERIFIED_LOCKED_RULE_APPLICATION
HALLMARK_SPERMATOGENESIS	pathway_position	UNKNOWN_NO_LOCKED_QUANTITATIVE_INPUT	0	0	05_results/tables/phase10a_target_prioritization_framework.tsv	Criterion retained from locked framework; no reproducible Phase 10B-R input table available.	VERIFIED_LOCKED_RULE_APPLICATION
HALLMARK_SPERMATOGENESIS	safety_essentiality_concerns	UNKNOWN_NO_LOCKED_QUANTITATIVE_INPUT	0	0	05_results/tables/phase10a_target_prioritization_framework.tsv	Criterion retained from locked framework; no reproducible Phase 10B-R input table available.	VERIFIED_LOCKED_RULE_APPLICATION
HALLMARK_SPERMATOGENESIS	literature_rescue	PROHIBITED_BY_PHASE10A_PARAMETER	0	0	01_metadata/phase10a_evidence_synthesis_parameter_inventory.tsv	Literature support cannot add points or override weak/composition-sensitive evidence.	VERIFIED_LOCKED_RULE_APPLICATION
MEblack	external_replication	FAIL_LOCKED_EVIDENCE_CATEGORY	0	0	05_results/tables/phase10a_cross_layer_evidence_inventory.tsv	derived_synthesis_category=INSUFFICIENT_DATA	VERIFIED_LOCKED_RULE_APPLICATION
MEblack	cell_type_specificity	NOT_SUPPORTED_BY_LOCKED_SINGLE_CELL_EVIDENCE	0	0	05_results/tables/phase10a_cross_layer_evidence_inventory.tsv	CELL_COMPOSITION_EXPLAINED is not treated as true cell-type specificity.	VERIFIED_LOCKED_RULE_APPLICATION
MEblack	druggability	UNKNOWN_NO_REPRODUCIBLE_OPENTARGETS_EVIDENCE	0	0	05_results/tables/phase10br_external_database_query_audit.tsv	No hardcoded tractability values are used.	VERIFIED_LOCKED_RULE_APPLICATION
MEblack	tumor_versus_normal_selectivity	UNKNOWN_NO_REPRODUCIBLE_GTEX_EVIDENCE	0	0	05_results/tables/phase10br_external_database_query_audit.tsv	No hardcoded tumor-vs-normal values are used.	VERIFIED_LOCKED_RULE_APPLICATION
MEblack	existing_compounds	UNKNOWN_NO_REPRODUCIBLE_CHEMBL_EVIDENCE	0	0	05_results/tables/phase10br_external_database_query_audit.tsv	No hardcoded compound values are used.	VERIFIED_LOCKED_RULE_APPLICATION
MEblack	genetic_dependency	UNKNOWN_NO_LOCKED_QUANTITATIVE_INPUT	0	0	05_results/tables/phase10a_target_prioritization_framework.tsv	Criterion retained from locked framework; no reproducible Phase 10B-R input table available.	VERIFIED_LOCKED_RULE_APPLICATION
MEblack	pathway_position	UNKNOWN_NO_LOCKED_QUANTITATIVE_INPUT	0	0	05_results/tables/phase10a_target_prioritization_framework.tsv	Criterion retained from locked framework; no reproducible Phase 10B-R input table available.	VERIFIED_LOCKED_RULE_APPLICATION
MEblack	safety_essentiality_concerns	UNKNOWN_NO_LOCKED_QUANTITATIVE_INPUT	0	0	05_results/tables/phase10a_target_prioritization_framework.tsv	Criterion retained from locked framework; no reproducible Phase 10B-R input table available.	VERIFIED_LOCKED_RULE_APPLICATION
MEblack	literature_rescue	PROHIBITED_BY_PHASE10A_PARAMETER	0	0	01_metadata/phase10a_evidence_synthesis_parameter_inventory.tsv	Literature support cannot add points or override weak/composition-sensitive evidence.	VERIFIED_LOCKED_RULE_APPLICATION
MEblue	external_replication	FAIL_LOCKED_EVIDENCE_CATEGORY	0	0	05_results/tables/phase10a_cross_layer_evidence_inventory.tsv	derived_synthesis_category=INSUFFICIENT_DATA	VERIFIED_LOCKED_RULE_APPLICATION
MEblue	cell_type_specificity	NOT_SUPPORTED_BY_LOCKED_SINGLE_CELL_EVIDENCE	0	0	05_results/tables/phase10a_cross_layer_evidence_inventory.tsv	CELL_COMPOSITION_EXPLAINED is not treated as true cell-type specificity.	VERIFIED_LOCKED_RULE_APPLICATION
MEblue	druggability	UNKNOWN_NO_REPRODUCIBLE_OPENTARGETS_EVIDENCE	0	0	05_results/tables/phase10br_external_database_query_audit.tsv	No hardcoded tractability values are used.	VERIFIED_LOCKED_RULE_APPLICATION
MEblue	tumor_versus_normal_selectivity	UNKNOWN_NO_REPRODUCIBLE_GTEX_EVIDENCE	0	0	05_results/tables/phase10br_external_database_query_audit.tsv	No hardcoded tumor-vs-normal values are used.	VERIFIED_LOCKED_RULE_APPLICATION
MEblue	existing_compounds	UNKNOWN_NO_REPRODUCIBLE_CHEMBL_EVIDENCE	0	0	05_results/tables/phase10br_external_database_query_audit.tsv	No hardcoded compound values are used.	VERIFIED_LOCKED_RULE_APPLICATION
MEblue	genetic_dependency	UNKNOWN_NO_LOCKED_QUANTITATIVE_INPUT	0	0	05_results/tables/phase10a_target_prioritization_framework.tsv	Criterion retained from locked framework; no reproducible Phase 10B-R input table available.	VERIFIED_LOCKED_RULE_APPLICATION
MEblue	pathway_position	UNKNOWN_NO_LOCKED_QUANTITATIVE_INPUT	0	0	05_results/tables/phase10a_target_prioritization_framework.tsv	Criterion retained from locked framework; no reproducible Phase 10B-R input table available.	VERIFIED_LOCKED_RULE_APPLICATION
MEblue	safety_essentiality_concerns	UNKNOWN_NO_LOCKED_QUANTITATIVE_INPUT	0	0	05_results/tables/phase10a_target_prioritization_framework.tsv	Criterion retained from locked framework; no reproducible Phase 10B-R input table available.	VERIFIED_LOCKED_RULE_APPLICATION
MEblue	literature_rescue	PROHIBITED_BY_PHASE10A_PARAMETER	0	0	01_metadata/phase10a_evidence_synthesis_parameter_inventory.tsv	Literature support cannot add points or override weak/composition-sensitive evidence.	VERIFIED_LOCKED_RULE_APPLICATION
MEgreen	external_replication	FAIL_LOCKED_EVIDENCE_CATEGORY	0	0	05_results/tables/phase10a_cross_layer_evidence_inventory.tsv	derived_synthesis_category=INSUFFICIENT_DATA	VERIFIED_LOCKED_RULE_APPLICATION
MEgreen	cell_type_specificity	NOT_SUPPORTED_BY_LOCKED_SINGLE_CELL_EVIDENCE	0	0	05_results/tables/phase10a_cross_layer_evidence_inventory.tsv	CELL_COMPOSITION_EXPLAINED is not treated as true cell-type specificity.	VERIFIED_LOCKED_RULE_APPLICATION
MEgreen	druggability	UNKNOWN_NO_REPRODUCIBLE_OPENTARGETS_EVIDENCE	0	0	05_results/tables/phase10br_external_database_query_audit.tsv	No hardcoded tractability values are used.	VERIFIED_LOCKED_RULE_APPLICATION
MEgreen	tumor_versus_normal_selectivity	UNKNOWN_NO_REPRODUCIBLE_GTEX_EVIDENCE	0	0	05_results/tables/phase10br_external_database_query_audit.tsv	No hardcoded tumor-vs-normal values are used.	VERIFIED_LOCKED_RULE_APPLICATION
MEgreen	existing_compounds	UNKNOWN_NO_REPRODUCIBLE_CHEMBL_EVIDENCE	0	0	05_results/tables/phase10br_external_database_query_audit.tsv	No hardcoded compound values are used.	VERIFIED_LOCKED_RULE_APPLICATION
MEgreen	genetic_dependency	UNKNOWN_NO_LOCKED_QUANTITATIVE_INPUT	0	0	05_results/tables/phase10a_target_prioritization_framework.tsv	Criterion retained from locked framework; no reproducible Phase 10B-R input table available.	VERIFIED_LOCKED_RULE_APPLICATION
MEgreen	pathway_position	UNKNOWN_NO_LOCKED_QUANTITATIVE_INPUT	0	0	05_results/tables/phase10a_target_prioritization_framework.tsv	Criterion retained from locked framework; no reproducible Phase 10B-R input table available.	VERIFIED_LOCKED_RULE_APPLICATION
MEgreen	safety_essentiality_concerns	UNKNOWN_NO_LOCKED_QUANTITATIVE_INPUT	0	0	05_results/tables/phase10a_target_prioritization_framework.tsv	Criterion retained from locked framework; no reproducible Phase 10B-R input table available.	VERIFIED_LOCKED_RULE_APPLICATION
MEgreen	literature_rescue	PROHIBITED_BY_PHASE10A_PARAMETER	0	0	01_metadata/phase10a_evidence_synthesis_parameter_inventory.tsv	Literature support cannot add points or override weak/composition-sensitive evidence.	VERIFIED_LOCKED_RULE_APPLICATION
MEtan	external_replication	FAIL_LOCKED_EVIDENCE_CATEGORY	0	0	05_results/tables/phase10a_cross_layer_evidence_inventory.tsv	derived_synthesis_category=INSUFFICIENT_DATA	VERIFIED_LOCKED_RULE_APPLICATION
MEtan	cell_type_specificity	NOT_SUPPORTED_BY_LOCKED_SINGLE_CELL_EVIDENCE	0	0	05_results/tables/phase10a_cross_layer_evidence_inventory.tsv	CELL_COMPOSITION_EXPLAINED is not treated as true cell-type specificity.	VERIFIED_LOCKED_RULE_APPLICATION
MEtan	druggability	UNKNOWN_NO_REPRODUCIBLE_OPENTARGETS_EVIDENCE	0	0	05_results/tables/phase10br_external_database_query_audit.tsv	No hardcoded tractability values are used.	VERIFIED_LOCKED_RULE_APPLICATION
MEtan	tumor_versus_normal_selectivity	UNKNOWN_NO_REPRODUCIBLE_GTEX_EVIDENCE	0	0	05_results/tables/phase10br_external_database_query_audit.tsv	No hardcoded tumor-vs-normal values are used.	VERIFIED_LOCKED_RULE_APPLICATION
MEtan	existing_compounds	UNKNOWN_NO_REPRODUCIBLE_CHEMBL_EVIDENCE	0	0	05_results/tables/phase10br_external_database_query_audit.tsv	No hardcoded compound values are used.	VERIFIED_LOCKED_RULE_APPLICATION
MEtan	genetic_dependency	UNKNOWN_NO_LOCKED_QUANTITATIVE_INPUT	0	0	05_results/tables/phase10a_target_prioritization_framework.tsv	Criterion retained from locked framework; no reproducible Phase 10B-R input table available.	VERIFIED_LOCKED_RULE_APPLICATION
MEtan	pathway_position	UNKNOWN_NO_LOCKED_QUANTITATIVE_INPUT	0	0	05_results/tables/phase10a_target_prioritization_framework.tsv	Criterion retained from locked framework; no reproducible Phase 10B-R input table available.	VERIFIED_LOCKED_RULE_APPLICATION
MEtan	safety_essentiality_concerns	UNKNOWN_NO_LOCKED_QUANTITATIVE_INPUT	0	0	05_results/tables/phase10a_target_prioritization_framework.tsv	Criterion retained from locked framework; no reproducible Phase 10B-R input table available.	VERIFIED_LOCKED_RULE_APPLICATION
MEtan	literature_rescue	PROHIBITED_BY_PHASE10A_PARAMETER	0	0	01_metadata/phase10a_evidence_synthesis_parameter_inventory.tsv	Literature support cannot add points or override weak/composition-sensitive evidence.	VERIFIED_LOCKED_RULE_APPLICATION
MEgreenyellow	external_replication	FAIL_LOCKED_EVIDENCE_CATEGORY	0	0	05_results/tables/phase10a_cross_layer_evidence_inventory.tsv	derived_synthesis_category=INSUFFICIENT_DATA	VERIFIED_LOCKED_RULE_APPLICATION
MEgreenyellow	cell_type_specificity	NOT_SUPPORTED_BY_LOCKED_SINGLE_CELL_EVIDENCE	0	0	05_results/tables/phase10a_cross_layer_evidence_inventory.tsv	CELL_COMPOSITION_EXPLAINED is not treated as true cell-type specificity.	VERIFIED_LOCKED_RULE_APPLICATION
MEgreenyellow	druggability	UNKNOWN_NO_REPRODUCIBLE_OPENTARGETS_EVIDENCE	0	0	05_results/tables/phase10br_external_database_query_audit.tsv	No hardcoded tractability values are used.	VERIFIED_LOCKED_RULE_APPLICATION
MEgreenyellow	tumor_versus_normal_selectivity	UNKNOWN_NO_REPRODUCIBLE_GTEX_EVIDENCE	0	0	05_results/tables/phase10br_external_database_query_audit.tsv	No hardcoded tumor-vs-normal values are used.	VERIFIED_LOCKED_RULE_APPLICATION
MEgreenyellow	existing_compounds	UNKNOWN_NO_REPRODUCIBLE_CHEMBL_EVIDENCE	0	0	05_results/tables/phase10br_external_database_query_audit.tsv	No hardcoded compound values are used.	VERIFIED_LOCKED_RULE_APPLICATION
MEgreenyellow	genetic_dependency	UNKNOWN_NO_LOCKED_QUANTITATIVE_INPUT	0	0	05_results/tables/phase10a_target_prioritization_framework.tsv	Criterion retained from locked framework; no reproducible Phase 10B-R input table available.	VERIFIED_LOCKED_RULE_APPLICATION
MEgreenyellow	pathway_position	UNKNOWN_NO_LOCKED_QUANTITATIVE_INPUT	0	0	05_results/tables/phase10a_target_prioritization_framework.tsv	Criterion retained from locked framework; no reproducible Phase 10B-R input table available.	VERIFIED_LOCKED_RULE_APPLICATION
MEgreenyellow	safety_essentiality_concerns	UNKNOWN_NO_LOCKED_QUANTITATIVE_INPUT	0	0	05_results/tables/phase10a_target_prioritization_framework.tsv	Criterion retained from locked framework; no reproducible Phase 10B-R input table available.	VERIFIED_LOCKED_RULE_APPLICATION
MEgreenyellow	literature_rescue	PROHIBITED_BY_PHASE10A_PARAMETER	0	0	01_metadata/phase10a_evidence_synthesis_parameter_inventory.tsv	Literature support cannot add points or override weak/composition-sensitive evidence.	VERIFIED_LOCKED_RULE_APPLICATION
MEpurple	external_replication	FAIL_LOCKED_EVIDENCE_CATEGORY	0	0	05_results/tables/phase10a_cross_layer_evidence_inventory.tsv	derived_synthesis_category=NOT_EXTERNALLY_SUPPORTED	VERIFIED_LOCKED_RULE_APPLICATION
MEpurple	cell_type_specificity	NOT_SUPPORTED_BY_LOCKED_SINGLE_CELL_EVIDENCE	0	0	05_results/tables/phase10a_cross_layer_evidence_inventory.tsv	CELL_COMPOSITION_EXPLAINED is not treated as true cell-type specificity.	VERIFIED_LOCKED_RULE_APPLICATION
MEpurple	druggability	UNKNOWN_NO_REPRODUCIBLE_OPENTARGETS_EVIDENCE	0	0	05_results/tables/phase10br_external_database_query_audit.tsv	No hardcoded tractability values are used.	VERIFIED_LOCKED_RULE_APPLICATION
MEpurple	tumor_versus_normal_selectivity	UNKNOWN_NO_REPRODUCIBLE_GTEX_EVIDENCE	0	0	05_results/tables/phase10br_external_database_query_audit.tsv	No hardcoded tumor-vs-normal values are used.	VERIFIED_LOCKED_RULE_APPLICATION
MEpurple	existing_compounds	UNKNOWN_NO_REPRODUCIBLE_CHEMBL_EVIDENCE	0	0	05_results/tables/phase10br_external_database_query_audit.tsv	No hardcoded compound values are used.	VERIFIED_LOCKED_RULE_APPLICATION
MEpurple	genetic_dependency	UNKNOWN_NO_LOCKED_QUANTITATIVE_INPUT	0	0	05_results/tables/phase10a_target_prioritization_framework.tsv	Criterion retained from locked framework; no reproducible Phase 10B-R input table available.	VERIFIED_LOCKED_RULE_APPLICATION
MEpurple	pathway_position	UNKNOWN_NO_LOCKED_QUANTITATIVE_INPUT	0	0	05_results/tables/phase10a_target_prioritization_framework.tsv	Criterion retained from locked framework; no reproducible Phase 10B-R input table available.	VERIFIED_LOCKED_RULE_APPLICATION
MEpurple	safety_essentiality_concerns	UNKNOWN_NO_LOCKED_QUANTITATIVE_INPUT	0	0	05_results/tables/phase10a_target_prioritization_framework.tsv	Criterion retained from locked framework; no reproducible Phase 10B-R input table available.	VERIFIED_LOCKED_RULE_APPLICATION
MEpurple	literature_rescue	PROHIBITED_BY_PHASE10A_PARAMETER	0	0	01_metadata/phase10a_evidence_synthesis_parameter_inventory.tsv	Literature support cannot add points or override weak/composition-sensitive evidence.	VERIFIED_LOCKED_RULE_APPLICATION
MEred	external_replication	FAIL_LOCKED_EVIDENCE_CATEGORY	0	0	05_results/tables/phase10a_cross_layer_evidence_inventory.tsv	derived_synthesis_category=NOT_EXTERNALLY_SUPPORTED	VERIFIED_LOCKED_RULE_APPLICATION
MEred	cell_type_specificity	NOT_SUPPORTED_BY_LOCKED_SINGLE_CELL_EVIDENCE	0	0	05_results/tables/phase10a_cross_layer_evidence_inventory.tsv	CELL_COMPOSITION_EXPLAINED is not treated as true cell-type specificity.	VERIFIED_LOCKED_RULE_APPLICATION
MEred	druggability	UNKNOWN_NO_REPRODUCIBLE_OPENTARGETS_EVIDENCE	0	0	05_results/tables/phase10br_external_database_query_audit.tsv	No hardcoded tractability values are used.	VERIFIED_LOCKED_RULE_APPLICATION
MEred	tumor_versus_normal_selectivity	UNKNOWN_NO_REPRODUCIBLE_GTEX_EVIDENCE	0	0	05_results/tables/phase10br_external_database_query_audit.tsv	No hardcoded tumor-vs-normal values are used.	VERIFIED_LOCKED_RULE_APPLICATION
MEred	existing_compounds	UNKNOWN_NO_REPRODUCIBLE_CHEMBL_EVIDENCE	0	0	05_results/tables/phase10br_external_database_query_audit.tsv	No hardcoded compound values are used.	VERIFIED_LOCKED_RULE_APPLICATION
MEred	genetic_dependency	UNKNOWN_NO_LOCKED_QUANTITATIVE_INPUT	0	0	05_results/tables/phase10a_target_prioritization_framework.tsv	Criterion retained from locked framework; no reproducible Phase 10B-R input table available.	VERIFIED_LOCKED_RULE_APPLICATION
MEred	pathway_position	UNKNOWN_NO_LOCKED_QUANTITATIVE_INPUT	0	0	05_results/tables/phase10a_target_prioritization_framework.tsv	Criterion retained from locked framework; no reproducible Phase 10B-R input table available.	VERIFIED_LOCKED_RULE_APPLICATION
MEred	safety_essentiality_concerns	UNKNOWN_NO_LOCKED_QUANTITATIVE_INPUT	0	0	05_results/tables/phase10a_target_prioritization_framework.tsv	Criterion retained from locked framework; no reproducible Phase 10B-R input table available.	VERIFIED_LOCKED_RULE_APPLICATION
MEred	literature_rescue	PROHIBITED_BY_PHASE10A_PARAMETER	0	0	01_metadata/phase10a_evidence_synthesis_parameter_inventory.tsv	Literature support cannot add points or override weak/composition-sensitive evidence.	VERIFIED_LOCKED_RULE_APPLICATION
BHLHE40	external_replication	PASS_LOCKED_EVIDENCE_CATEGORY	3	0	05_results/tables/phase10a_cross_layer_evidence_inventory.tsv	derived_synthesis_category=PARTIALLY_REPLICATED	VERIFIED_LOCKED_RULE_APPLICATION
BHLHE40	cell_type_specificity	PENALTY_CELL_COMPOSITION_EXPLAINED	0	-2	05_results/tables/phase10a_cross_layer_evidence_inventory.tsv	CELL_COMPOSITION_EXPLAINED is not treated as true cell-type specificity.	VERIFIED_LOCKED_RULE_APPLICATION
BHLHE40	druggability	UNKNOWN_NO_REPRODUCIBLE_OPENTARGETS_EVIDENCE	0	0	05_results/tables/phase10br_external_database_query_audit.tsv	No hardcoded tractability values are used.	VERIFIED_LOCKED_RULE_APPLICATION
BHLHE40	tumor_versus_normal_selectivity	UNKNOWN_NO_REPRODUCIBLE_GTEX_EVIDENCE	0	0	05_results/tables/phase10br_external_database_query_audit.tsv	No hardcoded tumor-vs-normal values are used.	VERIFIED_LOCKED_RULE_APPLICATION
BHLHE40	existing_compounds	UNKNOWN_NO_REPRODUCIBLE_CHEMBL_EVIDENCE	0	0	05_results/tables/phase10br_external_database_query_audit.tsv	No hardcoded compound values are used.	VERIFIED_LOCKED_RULE_APPLICATION
BHLHE40	genetic_dependency	UNKNOWN_NO_LOCKED_QUANTITATIVE_INPUT	0	0	05_results/tables/phase10a_target_prioritization_framework.tsv	Criterion retained from locked framework; no reproducible Phase 10B-R input table available.	VERIFIED_LOCKED_RULE_APPLICATION
BHLHE40	pathway_position	UNKNOWN_NO_LOCKED_QUANTITATIVE_INPUT	0	0	05_results/tables/phase10a_target_prioritization_framework.tsv	Criterion retained from locked framework; no reproducible Phase 10B-R input table available.	VERIFIED_LOCKED_RULE_APPLICATION
BHLHE40	safety_essentiality_concerns	UNKNOWN_NO_LOCKED_QUANTITATIVE_INPUT	0	0	05_results/tables/phase10a_target_prioritization_framework.tsv	Criterion retained from locked framework; no reproducible Phase 10B-R input table available.	VERIFIED_LOCKED_RULE_APPLICATION
BHLHE40	literature_rescue	PROHIBITED_BY_PHASE10A_PARAMETER	0	0	01_metadata/phase10a_evidence_synthesis_parameter_inventory.tsv	Literature support cannot add points or override weak/composition-sensitive evidence.	VERIFIED_LOCKED_RULE_APPLICATION
CTCFL	external_replication	PASS_LOCKED_EVIDENCE_CATEGORY	3	0	05_results/tables/phase10a_cross_layer_evidence_inventory.tsv	derived_synthesis_category=PARTIALLY_REPLICATED	VERIFIED_LOCKED_RULE_APPLICATION
CTCFL	cell_type_specificity	PENALTY_CELL_COMPOSITION_EXPLAINED	0	-2	05_results/tables/phase10a_cross_layer_evidence_inventory.tsv	CELL_COMPOSITION_EXPLAINED is not treated as true cell-type specificity.	VERIFIED_LOCKED_RULE_APPLICATION
CTCFL	druggability	UNKNOWN_NO_REPRODUCIBLE_OPENTARGETS_EVIDENCE	0	0	05_results/tables/phase10br_external_database_query_audit.tsv	No hardcoded tractability values are used.	VERIFIED_LOCKED_RULE_APPLICATION
CTCFL	tumor_versus_normal_selectivity	UNKNOWN_NO_REPRODUCIBLE_GTEX_EVIDENCE	0	0	05_results/tables/phase10br_external_database_query_audit.tsv	No hardcoded tumor-vs-normal values are used.	VERIFIED_LOCKED_RULE_APPLICATION
CTCFL	existing_compounds	UNKNOWN_NO_REPRODUCIBLE_CHEMBL_EVIDENCE	0	0	05_results/tables/phase10br_external_database_query_audit.tsv	No hardcoded compound values are used.	VERIFIED_LOCKED_RULE_APPLICATION
CTCFL	genetic_dependency	UNKNOWN_NO_LOCKED_QUANTITATIVE_INPUT	0	0	05_results/tables/phase10a_target_prioritization_framework.tsv	Criterion retained from locked framework; no reproducible Phase 10B-R input table available.	VERIFIED_LOCKED_RULE_APPLICATION
CTCFL	pathway_position	UNKNOWN_NO_LOCKED_QUANTITATIVE_INPUT	0	0	05_results/tables/phase10a_target_prioritization_framework.tsv	Criterion retained from locked framework; no reproducible Phase 10B-R input table available.	VERIFIED_LOCKED_RULE_APPLICATION
CTCFL	safety_essentiality_concerns	UNKNOWN_NO_LOCKED_QUANTITATIVE_INPUT	0	0	05_results/tables/phase10a_target_prioritization_framework.tsv	Criterion retained from locked framework; no reproducible Phase 10B-R input table available.	VERIFIED_LOCKED_RULE_APPLICATION
CTCFL	literature_rescue	PROHIBITED_BY_PHASE10A_PARAMETER	0	0	01_metadata/phase10a_evidence_synthesis_parameter_inventory.tsv	Literature support cannot add points or override weak/composition-sensitive evidence.	VERIFIED_LOCKED_RULE_APPLICATION
Ochrobactrum	external_replication	FAIL_LOCKED_EVIDENCE_CATEGORY	0	0	05_results/tables/phase10a_cross_layer_evidence_inventory.tsv	derived_synthesis_category=DISCOVERY_ONLY	VERIFIED_LOCKED_RULE_APPLICATION
Ochrobactrum	cell_type_specificity	NOT_SUPPORTED_BY_LOCKED_SINGLE_CELL_EVIDENCE	0	0	05_results/tables/phase10a_cross_layer_evidence_inventory.tsv	CELL_COMPOSITION_EXPLAINED is not treated as true cell-type specificity.	VERIFIED_LOCKED_RULE_APPLICATION
Ochrobactrum	druggability	UNKNOWN_NO_REPRODUCIBLE_OPENTARGETS_EVIDENCE	0	0	05_results/tables/phase10br_external_database_query_audit.tsv	No hardcoded tractability values are used.	VERIFIED_LOCKED_RULE_APPLICATION
Ochrobactrum	tumor_versus_normal_selectivity	UNKNOWN_NO_REPRODUCIBLE_GTEX_EVIDENCE	0	0	05_results/tables/phase10br_external_database_query_audit.tsv	No hardcoded tumor-vs-normal values are used.	VERIFIED_LOCKED_RULE_APPLICATION
Ochrobactrum	existing_compounds	UNKNOWN_NO_REPRODUCIBLE_CHEMBL_EVIDENCE	0	0	05_results/tables/phase10br_external_database_query_audit.tsv	No hardcoded compound values are used.	VERIFIED_LOCKED_RULE_APPLICATION
Ochrobactrum	genetic_dependency	UNKNOWN_NO_LOCKED_QUANTITATIVE_INPUT	0	0	05_results/tables/phase10a_target_prioritization_framework.tsv	Criterion retained from locked framework; no reproducible Phase 10B-R input table available.	VERIFIED_LOCKED_RULE_APPLICATION
Ochrobactrum	pathway_position	UNKNOWN_NO_LOCKED_QUANTITATIVE_INPUT	0	0	05_results/tables/phase10a_target_prioritization_framework.tsv	Criterion retained from locked framework; no reproducible Phase 10B-R input table available.	VERIFIED_LOCKED_RULE_APPLICATION
Ochrobactrum	safety_essentiality_concerns	UNKNOWN_NO_LOCKED_QUANTITATIVE_INPUT	0	0	05_results/tables/phase10a_target_prioritization_framework.tsv	Criterion retained from locked framework; no reproducible Phase 10B-R input table available.	VERIFIED_LOCKED_RULE_APPLICATION
