feature_name	feature_layer	eligible_cohorts	supported_cohorts	negative_controls_executed	outperforms_negative_controls	evidence_category	notes
"KLF1"	"tf_activity"	3	1	FALSE	NA	"PARTIALLY_REPLICATED_HOST_FEATURE"	"TF evidence categories are derived from the executed VIPER cohort statistics and compared with the locked Phase 9B1C2 audit."
"KLF13"	"tf_activity"	3	2	FALSE	NA	"EXTERNALLY_REPLICATED_HOST_FEATURE"	"TF evidence categories are derived from the executed VIPER cohort statistics and compared with the locked Phase 9B1C2 audit."
"KLF9"	"tf_activity"	3	2	FALSE	NA	"EXTERNALLY_REPLICATED_HOST_FEATURE"	"TF evidence categories are derived from the executed VIPER cohort statistics and compared with the locked Phase 9B1C2 audit."
"MAFF"	"tf_activity"	3	0	FALSE	NA	"NOT_REPLICATED"	"TF evidence categories are derived from the executed VIPER cohort statistics and compared with the locked Phase 9B1C2 audit."
"MBD1"	"tf_activity"	2	1	FALSE	NA	"PARTIALLY_REPLICATED_HOST_FEATURE"	"TF evidence categories are derived from the executed VIPER cohort statistics and compared with the locked Phase 9B1C2 audit."
"MBD2"	"tf_activity"	2	1	FALSE	NA	"PARTIALLY_REPLICATED_HOST_FEATURE"	"TF evidence categories are derived from the executed VIPER cohort statistics and compared with the locked Phase 9B1C2 audit."
"MNT"	"tf_activity"	3	3	FALSE	NA	"EXTERNALLY_REPLICATED_HOST_FEATURE"	"TF evidence categories are derived from the executed VIPER cohort statistics and compared with the locked Phase 9B1C2 audit."
"MXI1"	"tf_activity"	3	2	FALSE	NA	"EXTERNALLY_REPLICATED_HOST_FEATURE"	"TF evidence categories are derived from the executed VIPER cohort statistics and compared with the locked Phase 9B1C2 audit."
"OTX2"	"tf_activity"	3	0	FALSE	NA	"PARTIALLY_REPLICATED_HOST_FEATURE"	"TF evidence categories are derived from the executed VIPER cohort statistics and compared with the locked Phase 9B1C2 audit."
"SIX5"	"tf_activity"	3	1	FALSE	NA	"PARTIALLY_REPLICATED_HOST_FEATURE"	"TF evidence categories are derived from the executed VIPER cohort statistics and compared with the locked Phase 9B1C2 audit."
"SNAI2"	"tf_activity"	3	2	FALSE	NA	"EXTERNALLY_REPLICATED_HOST_FEATURE"	"TF evidence categories are derived from the executed VIPER cohort statistics and compared with the locked Phase 9B1C2 audit."
"SNAPC4"	"tf_activity"	3	1	FALSE	NA	"PARTIALLY_REPLICATED_HOST_FEATURE"	"TF evidence categories are derived from the executed VIPER cohort statistics and compared with the locked Phase 9B1C2 audit."
"STAT1"	"tf_activity"	3	0	FALSE	NA	"NOT_REPLICATED"	"TF evidence categories are derived from the executed VIPER cohort statistics and compared with the locked Phase 9B1C2 audit."
"TEAD4"	"tf_activity"	3	0	FALSE	NA	"NOT_REPLICATED"	"TF evidence categories are derived from the executed VIPER cohort statistics and compared with the locked Phase 9B1C2 audit."
"TFAP4"	"tf_activity"	3	2	FALSE	NA	"EXTERNALLY_REPLICATED_HOST_FEATURE"	"TF evidence categories are derived from the executed VIPER cohort statistics and compared with the locked Phase 9B1C2 audit."
"TP63"	"tf_activity"	3	2	FALSE	NA	"EXTERNALLY_REPLICATED_HOST_FEATURE"	"TF evidence categories are derived from the executed VIPER cohort statistics and compared with the locked Phase 9B1C2 audit."
"TWIST1"	"tf_activity"	2	0	FALSE	NA	"NOT_REPLICATED"	"TF evidence categories are derived from the executed VIPER cohort statistics and compared with the locked Phase 9B1C2 audit."
"ZBED1"	"tf_activity"	3	1	FALSE	NA	"PARTIALLY_REPLICATED_HOST_FEATURE"	"TF evidence categories are derived from the executed VIPER cohort statistics and compared with the locked Phase 9B1C2 audit."
"ZBTB11"	"tf_activity"	3	0	FALSE	NA	"NOT_REPLICATED"	"TF evidence categories are derived from the executed VIPER cohort statistics and compared with the locked Phase 9B1C2 audit."
"ZBTB7A"	"tf_activity"	3	2	FALSE	NA	"EXTERNALLY_REPLICATED_HOST_FEATURE"	"TF evidence categories are derived from the executed VIPER cohort statistics and compared with the locked Phase 9B1C2 audit."
"ZNF24"	"tf_activity"	3	2	FALSE	NA	"EXTERNALLY_REPLICATED_HOST_FEATURE"	"TF evidence categories are derived from the executed VIPER cohort statistics and compared with the locked Phase 9B1C2 audit."
"ZNF384"	"tf_activity"	3	1	FALSE	NA	"PARTIALLY_REPLICATED_HOST_FEATURE"	"TF evidence categories are derived from the executed VIPER cohort statistics and compared with the locked Phase 9B1C2 audit."
"ZNF639"	"tf_activity"	3	0	FALSE	NA	"NOT_REPLICATED"	"TF evidence categories are derived from the executed VIPER cohort statistics and compared with the locked Phase 9B1C2 audit."
"ZNF740"	"tf_activity"	3	1	FALSE	NA	"PARTIALLY_REPLICATED_HOST_FEATURE"	"TF evidence categories are derived from the executed VIPER cohort statistics and compared with the locked Phase 9B1C2 audit."
"MEblack"	"module"	1	1	TRUE	TRUE	"PARTIALLY_REPLICATED_HOST_FEATURE"	"Classified under locked Phase 9A categories; low-coverage cohorts are not counted as failures."
"MEblue"	"module"	1	1	TRUE	TRUE	"PARTIALLY_REPLICATED_HOST_FEATURE"	"Classified under locked Phase 9A categories; low-coverage cohorts are not counted as failures."
"MEgreen"	"module"	1	1	TRUE	TRUE	"PARTIALLY_REPLICATED_HOST_FEATURE"	"Classified under locked Phase 9A categories; low-coverage cohorts are not counted as failures."
"MEred"	"module"	1	0	TRUE	FALSE	"NOT_REPLICATED"	"Classified under locked Phase 9A categories; low-coverage cohorts are not counted as failures."
"MEtan"	"module"	1	1	TRUE	TRUE	"PARTIALLY_REPLICATED_HOST_FEATURE"	"Classified under locked Phase 9A categories; low-coverage cohorts are not counted as failures."
"MEgreenyellow"	"module"	1	0	TRUE	TRUE	"PARTIALLY_REPLICATED_HOST_FEATURE"	"Classified under locked Phase 9A categories; low-coverage cohorts are not counted as failures."
"MEpurple"	"module"	1	0	TRUE	TRUE	"NOT_REPLICATED"	"Classified under locked Phase 9A categories; low-coverage cohorts are not counted as failures."
